date,temp_max,humidity_mean,solar_rad,satellite_id,asset_link,has_satellite_image,vpd_kpa,heat_stress_idx
2023-06-01,29.4,30,30.82,,,0,2.869446,0.0
2023-06-02,31.3,33,30.97,,,0,3.0618298,1.2999992
2023-06-03,34.1,29,30.65,S2B_MSIL2A_20230603T184919_R113_T10SGF_20240816T181839,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/10/S/GF/2023/06/03/S2B_MSIL2A_20230603T184919_N0510_R113_T10SGF_20240816T181839.SAFE/GRANULE/L2A_T10SGF_A032600_20230603T190256/IMG_DATA/R10m/T10SGF_20230603T184919_TCI_10m.tif?st=2025-12-09T11%3A21%3A31Z&se=2025-12-10T12%3A06%3A31Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2025-12-09T18%3A49%3A35Z&ske=2025-12-16T18%3A49%3A35Z&sks=b&skv=2025-07-05&sig=9qgY6bVsQiBWzCVZxpd6dngv6qFZkaYudq949pQR9Xs%3D,1,3.797754,4.0999985
2023-06-03,34.1,29,30.65,S2B_MSIL2A_20230603T184919_R113_T10SGF_20230604T005215,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/10/S/GF/2023/06/03/S2B_MSIL2A_20230603T184919_N0509_R113_T10SGF_20230604T005215.SAFE/GRANULE/L2A_T10SGF_A032600_20230603T190256/IMG_DATA/R10m/T10SGF_20230603T184919_TCI_10m.tif?st=2025-12-09T11%3A21%3A31Z&se=2025-12-10T12%3A06%3A31Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2025-12-09T18%3A49%3A35Z&ske=2025-12-16T18%3A49%3A35Z&sks=b&skv=2025-07-05&sig=9qgY6bVsQiBWzCVZxpd6dngv6qFZkaYudq949pQR9Xs%3D,1,3.797754,4.0999985
2023-06-04,36.3,22,29.94,,,0,4.7108,6.299999
2023-06-05,32.1,31,25.12,,,0,3.2993803,2.0999985
2023-06-06,26.0,56,22.65,,,0,1.4790338,0.0
2023-06-07,24.5,56,18.62,,,0,1.3528458,0.0
2023-06-08,28.3,50,22.95,,,0,1.9232306,0.0
2023-06-09,30.1,45,26.83,,,0,2.347105,0.10000038
2023-06-10,28.7,43,23.17,,,0,2.24395,0.0
2023-06-11,30.5,38,27.41,,,0,2.7070935,0.5
2023-06-12,29.8,46,28.62,,,0,2.2651017,0.0
2023-06-13,30.9,43,28.84,,,0,2.5462348,0.8999996
2023-06-14,33.2,40,29.35,,,0,3.0521123,3.2000008
2023-06-15,33.1,40,29.69,,,0,3.0350587,3.0999985
2023-06-16,33.8,41,29.52,,,0,3.1035836,3.7999992
2023-06-17,36.3,33,30.01,,,0,4.046457,6.299999
2023-06-18,34.2,32,29.55,S2A_MSIL2A_20230618T184921_R113_T10SGF_20230619T033930,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/10/S/GF/2023/06/18/S2A_MSIL2A_20230618T184921_N0509_R113_T10SGF_20230619T033930.SAFE/GRANULE/L2A_T10SGF_A041723_20230618T185833/IMG_DATA/R10m/T10SGF_20230618T184921_TCI_10m.tif?st=2025-12-09T11%3A21%3A31Z&se=2025-12-10T12%3A06%3A31Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2025-12-09T18%3A49%3A35Z&ske=2025-12-16T18%3A49%3A35Z&sks=b&skv=2025-07-05&sig=9qgY6bVsQiBWzCVZxpd6dngv6qFZkaYudq949pQR9Xs%3D,1,3.657572,4.200001
2023-06-19,26.0,31,31.4,,,0,2.319394,0.0
2023-06-20,27.6,28,31.64,S2B_MSIL2A_20230620T183919_R070_T10SGF_20230621T014204,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/10/S/GF/2023/06/20/S2B_MSIL2A_20230620T183919_N0509_R070_T10SGF_20230621T014204.SAFE/GRANULE/L2A_T10SGF_A032843_20230620T184248/IMG_DATA/R10m/T10SGF_20230620T183919_TCI_10m.tif?st=2025-12-09T11%3A21%3A31Z&se=2025-12-10T12%3A06%3A31Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2025-12-09T18%3A49%3A35Z&ske=2025-12-16T18%3A49%3A35Z&sks=b&skv=2025-07-05&sig=9qgY6bVsQiBWzCVZxpd6dngv6qFZkaYudq949pQR9Xs%3D,1,2.6588032,0.0
2023-06-21,29.8,26,31.11,,,0,3.1040282,0.0
2023-06-22,30.0,35,27.41,,,0,2.7579932,0.0
2023-06-23,28.4,46,30.3,S2B_MSIL2A_20230623T184919_R113_T10SGF_20240813T092536,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/10/S/GF/2023/06/23/S2B_MSIL2A_20230623T184919_N0510_R113_T10SGF_20240813T092536.SAFE/GRANULE/L2A_T10SGF_A032886_20230623T190148/IMG_DATA/R10m/T10SGF_20230623T184919_TCI_10m.tif?st=2025-12-09T11%3A21%3A31Z&se=2025-12-10T12%3A06%3A31Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2025-12-09T18%3A49%3A35Z&ske=2025-12-16T18%3A49%3A35Z&sks=b&skv=2025-07-05&sig=9qgY6bVsQiBWzCVZxpd6dngv6qFZkaYudq949pQR9Xs%3D,1,2.0891867,0.0
2023-06-23,28.4,46,30.3,S2B_MSIL2A_20230623T184919_R113_T10SGF_20230624T024549,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/10/S/GF/2023/06/23/S2B_MSIL2A_20230623T184919_N0509_R113_T10SGF_20230624T024549.SAFE/GRANULE/L2A_T10SGF_A032886_20230623T190148/IMG_DATA/R10m/T10SGF_20230623T184919_TCI_10m.tif?st=2025-12-09T11%3A21%3A31Z&se=2025-12-10T12%3A06%3A31Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2025-12-09T18%3A49%3A35Z&ske=2025-12-16T18%3A49%3A35Z&sks=b&skv=2025-07-05&sig=9qgY6bVsQiBWzCVZxpd6dngv6qFZkaYudq949pQR9Xs%3D,1,2.0891867,0.0
2023-06-24,29.6,41,27.37,,,0,2.4465425,0.0
2023-06-25,29.0,41,29.46,S2A_MSIL2A_20230625T183921_R070_T10SGF_20240814T070008,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/10/S/GF/2023/06/25/S2A_MSIL2A_20230625T183921_N0510_R070_T10SGF_20240814T070008.SAFE/GRANULE/L2A_T10SGF_A041823_20230625T185308/IMG_DATA/R10m/T10SGF_20230625T183921_TCI_10m.tif?st=2025-12-09T11%3A21%3A31Z&se=2025-12-10T12%3A06%3A31Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2025-12-09T18%3A49%3A35Z&ske=2025-12-16T18%3A49%3A35Z&sks=b&skv=2025-07-05&sig=9qgY6bVsQiBWzCVZxpd6dngv6qFZkaYudq949pQR9Xs%3D,1,2.3633502,0.0
2023-06-25,29.0,41,29.46,S2A_MSIL2A_20230625T183921_R070_T10SGF_20230626T015614,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/10/S/GF/2023/06/25/S2A_MSIL2A_20230625T183921_N0509_R070_T10SGF_20230626T015614.SAFE/GRANULE/L2A_T10SGF_A041823_20230625T185308/IMG_DATA/R10m/T10SGF_20230625T183921_TCI_10m.tif?st=2025-12-09T11%3A21%3A31Z&se=2025-12-10T12%3A06%3A31Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2025-12-09T18%3A49%3A35Z&ske=2025-12-16T18%3A49%3A35Z&sks=b&skv=2025-07-05&sig=9qgY6bVsQiBWzCVZxpd6dngv6qFZkaYudq949pQR9Xs%3D,1,2.3633502,0.0
2023-06-26,30.9,40,30.49,,,0,2.6802473,0.8999996
2023-06-27,31.5,40,27.34,,,0,2.773242,1.5
2023-06-28,34.1,36,30.09,S2A_MSIL2A_20230628T184921_R113_T10SGF_20240814T061321,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/10/S/GF/2023/06/28/S2A_MSIL2A_20230628T184921_N0510_R113_T10SGF_20240814T061321.SAFE/GRANULE/L2A_T10SGF_A041866_20230628T190304/IMG_DATA/R10m/T10SGF_20230628T184921_TCI_10m.tif?st=2025-12-09T11%3A21%3A31Z&se=2025-12-10T12%3A06%3A31Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2025-12-09T18%3A49%3A35Z&ske=2025-12-16T18%3A49%3A35Z&sks=b&skv=2025-07-05&sig=9qgY6bVsQiBWzCVZxpd6dngv6qFZkaYudq949pQR9Xs%3D,1,3.4233277,4.0999985
2023-06-28,34.1,36,30.09,S2A_MSIL2A_20230628T184921_R113_T10SGF_20230629T092406,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/10/S/GF/2023/06/28/S2A_MSIL2A_20230628T184921_N0509_R113_T10SGF_20230629T092406.SAFE/GRANULE/L2A_T10SGF_A041866_20230628T190304/IMG_DATA/R10m/T10SGF_20230628T184921_TCI_10m.tif?st=2025-12-09T11%3A21%3A31Z&se=2025-12-10T12%3A06%3A31Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2025-12-09T18%3A49%3A35Z&ske=2025-12-16T18%3A49%3A35Z&sks=b&skv=2025-07-05&sig=9qgY6bVsQiBWzCVZxpd6dngv6qFZkaYudq949pQR9Xs%3D,1,3.4233277,4.0999985
2023-06-29,37.8,33,30.09,,,0,4.3908114,7.799999
